Timestamps (ms),a_x,a_y,a_z,g_x,g_y,g_z
100,0.2772307266035744,0.701382083922839,0.8892182280970268,0.6800325746255352,0.6591771274651766,0.6193507290535823
200,0.4158291810543125,0.41191115088742053,0.5807915387389345,0.5141461431405673,0.7076159952823892,0.7220454077201107
300,0.4355902856157642,0.4788983852030931,0.5426052695344387,0.6710767384607459,0.7545958603556058,0.6426904305612454
400,0.3771190829607026,0.4420419000231292,0.4977051659945851,0.6720944461604783,0.8106215273758339,0.6288987894493382
500,0.38469866906707906,0.447960471333685,0.4041280984728419,0.6405454960044857,0.8403851751356618,0.6541481015223864
600,0.41664128077711926,0.32716818016702515,0.2608250851257091,0.6891919401016982,0.8523489907883542,0.6452365793096239
700,0.562277932825516,0.0,0.004196295437805356,0.7836352574368735,0.7338780309781675,0.524506675628161
800,0.5482015308463064,0.5466927055967706,0.06818957739702651,0.4302869958183248,0.6752261494314428,0.6354763419096938
900,0.3183771464785783,0.4390826480774346,0.3092921651046594,0.45776511135395864,0.7125766032423604,0.71228517071854
1000,0.37035155135118564,0.7858560521691307,0.5392482647325205,0.43944637275877485,0.6746425488816904,0.6496923402168254
1100,0.38578146869748803,0.1250966678481501,0.0,0.792998171331555,0.7674350735458513,0.5962232097287666
1200,0.6770547773168764,0.5512661184619477,0.15924885188192342,0.646855282978541,0.4946016960104819,0.599830255050441
1300,0.4128514820706876,0.21791033080067987,0.2058275892740949,0.3846936709988807,0.539538966829408,0.7012518605378586
1400,0.2561161225041114,0.49907525624002597,0.41587765909667507,0.5432525963457737,0.6918587738649221,0.6675153834472721
1500,0.23256520792974122,0.4280526477169667,0.4173463651289341,0.45796865595104835,0.5056901196040806,0.6914916195526933
1600,0.49054240077848327,0.5593368668767208,0.4318234976314656,0.5393853063225047,0.500437712464925,0.6609378321819948
1700,0.31106823766683045,0.42724552792937853,0.44965773133357845,0.43883574278893467,0.5363291594230022,0.7080415907991074
1800,0.476465994276679,0.42455527845778745,0.6198169057839912,0.5163851031371219,0.6256200807886484,0.6303840432178585
1900,0.44344059424271653,0.6045331029455613,0.6229641142172093,0.48727864993191544,0.6183250722732052,0.6660301300771112
2000,0.2146990140279921,0.8141036716208367,0.8940438951140843,0.5420313478703807,0.7029471865016023,0.6895820093856676
