Timestamps (ms),a_x,a_y,a_z,g_x,g_y,g_z
100,0.3632081921214499,0.262569415260939,0.0,0.18954250804179068,1.0,0.7368421069967388
200,0.29245350302007184,0.5698317700048596,0.2873561838829918,1.0,0.05810399744765391,0.0
300,1.0,1.0,0.8735627990042967,0.4705882425123722,0.32415903668225876,0.20175439506621165
400,0.35849121284802576,0.525139063860291,0.6551725793404056,0.7189542409873528,0.19266056267914036,0.3157894897198332
500,0.2547178658495977,0.4525134163753639,0.5747123677659836,0.4836601393648192,0.4464831968098246,0.4385965020629504
600,0.2641516273795199,0.5418988286645032,0.14942473553197141,0.6013071950844991,0.29969420350844705,0.35087720494416386
700,0.23113296948247172,0.525139063860291,0.45976989421278686,0.43790850651677127,0.4220183636360129,0.6403508724256353
800,0.551886969024604,0.6145240094726064,0.7586203254511,0.41176471526608394,0.49541285741595537,0.3157894897198332
900,0.42924590194940376,0.525139063860291,0.5172411309893852,0.5947712478853789,0.5779816593299577,0.3070175555613197
1000,0.0,0.5363122403964331,0.26436720908516814,0.5163398765875234,0.397553532184649,0.4210526419804324
1100,0.9150947671122017,0.6927367119024295,0.7816083400745576,0.6535947751316673,0.3944954277508479,0.33333334486164584
1200,0.10377452909998987,0.3463682392820083,0.02298897479782367,0.7189542409873528,0.2232416070171513,0.3070175555613197
1300,0.3018874615669219,0.525139063860291,0.37930968263836484,0.5686274578617949,0.30886851164250695,0.2982456296373152
1400,0.5235854874179078,0.6424569508129628,0.48275886901061055,0.477124192165699,0.3944954277508479,0.4122807127626243
1500,0.43867986049625385,0.5474858836093992,0.4022986574361885,0.5620915094355714,0.3669724913489486,0.3859649234622981
1600,0.481132279923226,0.4972061225199325,0.6666658665213608,0.5620915094355714,0.34862386755947344,0.37719299424449
1700,0.49056663250393173,0.5698317700048596,0.5517233929681642,0.5620915094355714,0.4036697399039527,0.2543859753137657
1800,0.3726421506683017,0.5027922441111807,0.5057468836340681,0.5555555610093479,0.29969420350844705,0.3157894897198332
1900,0.5141515288710578,0.5474858836093992,0.48275886901061055,0.6601307137410646,0.32110092822941283,0.4561403621454684
2000,0.5141515288710578,0.6089378878813603,0.48275886901061055,0.49673203376305963,0.44036698564562543,0.3245614156438377
2100,0.43396248718897396,0.4972061225199325,0.45976989421278686,0.549019615037331,0.3761468040187877,0.3245614156438377
2200,0.5566043423318839,0.6145240094726064,0.5862066151213049,0.549019615037331,0.3302752432532639,0.359649134161972
2300,0.4952840058112116,0.4804463577157203,0.5517233929681642,0.5620915094355714,0.3853211155977431,0.36842106436792116
2400,0.43396248718897396,0.5307251854515371,0.3908044100808714,0.549019615037331,0.3547400752787771,0.28947369383189997
2500,0.5377364252381838,0.5307251854515371,0.7471260780957829,0.5359477190438564,0.4128440520570575,0.2982456296373152
2600,0.4764156946836558,0.5307251854515371,0.5172411309893852,0.5098039293884032,0.34862386755947344,0.3245614156438377
2700,0.4952840058112116,0.4301670633030775,0.5632181204106664,0.5816993522600352,0.35779817971257816,0.4385965020629504
2800,0.3915100677620018,0.5418988286645032,0.42528763223401217,0.5882353006862587,0.4128440520570575,0.3859649234622981
2900,0.4575473835561,0.4692731811795761,0.6206893571872648,0.5294117714766051,0.36085628357223,0.37719299424449
3000,0.5377364252381838,0.5698317700048596,0.5977013425638072,0.5620915094355714,0.397553532184649,0.36842106436792116
3100,0.44339683976967975,0.4804463577157203,0.45976989421278686,0.5620915094355714,0.35168197141912527,0.3157894897198332
3200,0.5424537985454636,0.5307251854515371,0.48275886901061055,0.5882353006862587,0.3700305953808452,0.35087720494416386
