Timestamps (ms),a_x,a_y,a_z,g_x,g_y,g_z
100,0.7319590936003011,0.06666633665112441,0.8588254949461225,0.7876106543159171,0.48226948447017004,1.0
200,1.0,0.0,1.0,1.0,0.1489361600137543,0.6571428877953978
300,0.2783501803111038,0.5333328589359907,0.9764725537696514,0.716814189139794,0.9929077911249928,0.9000000134104863
400,0.587629043543787,0.17037000826998344,0.7411784361225935,0.44247788242862635,0.6666666489128314,0.22857143585140693
500,0.4226800150707788,0.3333329208139052,0.7411784361225935,0.646017723963671,0.31205672845675964,0.40000001341048647
600,0.458762473760697,0.562963098177665,0.5176480415907101,0.24778761150166884,0.3049645289025158,0.4428571524360617
700,0.5463921631950045,0.18518481850124982,0.8352951004142373,0.3716814222369319,0.2907801324571035,0.08571430487212363
800,0.402061467247967,0.23703665431067864,0.729412747473063,0.44247788242862635,0.3333333232580319,0.27142858024117683
900,0.5567016524032505,0.5037032384734594,0.7764715710024728,0.5398230095847241,0.1205673511444779,0.45714287706700857
1000,0.19587598901986045,0.24444405942631112,0.9058833357083563,0.07964600255468585,1.0,0.2428571524360618
1100,0.6134022283223003,0.34814773104517016,0.3176480415907075,0.5575221341861359,0.7021276533417388,0.5285714304872122
1200,0.5051552828462239,0.5111106435890919,0.5294117647058844,0.5752212421727857,0.6241134755550461,0.5285714304872122
1300,0.1649481672856437,0.32592551569827266,0.5058843184755314,0.424778769457548,0.269503537788985,0.385714299507929
1400,0.5103094892082451,0.32592551569827266,0.8588254949461225,0.10619468945680363,0.5460992711376008,0.25714286633861927
1500,0.6649485978793269,0.42962918731713173,0.5058843184755314,0.28318584408973035,0.3049645289025158,0.27142858024117683
1600,0.3865977716776997,0.2592588696575775,0.6235313772990603,0.23893805750834396,0.45390068891627006,0.385714299507929
1700,0.5257736153721946,0.3851847566233354,0.6588245121789439,0.3628318632591784,0.191489346686916,0.2428571524360618
1800,0.5360826739867585,0.35555513616080403,0.6235313772990603,0.23893805750834396,0.1985815422465469,0.25714286633861927
1900,0.4226800150707788,0.29629589523574135,0.9294127474730612,0.07964600255468585,0.14184395113874698,0.014285708538362906
2000,0.32989654986813044,0.29629589523574135,0.5176480415907101,0.5132743476047494,0.6382978533589316,0.6571428877953978
2100,0.5051552828462239,0.32592551569827266,0.8588254949461225,0.21238938223655968,0.32624112490217194,0.31428572463094673
2200,0.587629043543787,0.17777741338561595,0.8235294117647066,0.44247788242862635,0.15602835557338515,0.2857142957529928
2300,0.4845356585392103,0.4962958333578269,0.8588254949461225,0.25663717214089854,0.4680850933509082,0.2857142957529928
2400,0.541237526239303,0.22222184407941364,0.6588245121789439,0.5221239015980744,0.48936169334517726,0.2000000134104865
2500,0.37113364551375216,0.37777735150770153,0.6588245121789439,0.6106194913756092,0.560283675572239,0.4285714438976989
2600,0.4690715323752628,0.1925922236168823,0.6470588235294134,0.44247788242862635,0.4397163031231589,0.2857142957529928
2700,0.46391732601323965,0.48148102312656055,0.7176480415907083,0.4513274430678561,0.709219862216746,0.25714286633861927
2800,0.7525776414231129,0.40740697197023285,0.4000009827671768,0.8584070696477538,0.20567375112155417,0.7571429012058843
2900,0.5103094892082451,0.57777790840893,0.43529510041423636,0.6017699207675224,0.36170211867877805,0.47142858024117684
3000,0.5463921631950045,0.5333328589359907,0.7058823529411777,0.424778769457548,0.3758865151241904,0.32857143960634316
3100,0.4793810215835088,0.6148149339870939,0.6823549067108247,0.4690265444086009,0.53900707557797,0.32857143960634316
3200,0.5154643414607897,0.5037032384734594,0.41176470588235553,0.3893805418539151,0.2907801324571035,0.3571428690207166
3300,0.4072161042036704,0.4962958333578269,0.4941186298260008,0.4159292121412707,0.34042552188019937,0.2857142957529928
3400,0.1804122934495932,0.5555556930620311,0.42353039453188607,0.4159292121412707,0.07801417778669258,0.40000001341048647
3500,0.7164949674363535,0.42962918731713173,0.7176480415907083,0.5309734555913992,0.3829787146784342,0.6571428877953978
3600,0.5360826739867585,0.7703704414153831,0.8352951004142373,0.4336283284353015,0.7304964488956387,0.3571428690207166
3700,0.7164949674363535,0.48148102312656055,0.21176667141670913,0.49557523131071873,0.3333333232580319,0.7000000134104866
3800,0.587629043543787,0.7629630362997506,0.3764715710024719,0.6814159565517325,0.35460992045607187,0.5571428743849113
3900,0.5309284676247372,0.8000000618779144,0.5176480415907101,0.07079646517612316,0.36170211867877805,0.2000000134104865
4000,0.5773199849292212,0.6444445544496252,0.5764715710024745,0.09734512715609771,0.3687943155699466,0.11428572194884945
4100,0.49999956940631873,0.5259254538203583,0.6000009827671794,0.0,0.1205673511444779,0.09999999999999998
4200,0.5463921631950045,0.5259254538203583,0.635295100414239,0.017699091371887563,0.3333333232580319,0.11428572194884945
4300,0.5360826739867585,0.40740697197023285,0.6470588235294134,0.25663717214089854,0.2978723306798096,0.2428571524360618
4400,0.5515468001507079,0.6370371493339927,0.5882352941176489,0.18584070031887054,0.4326241022373774,0.21428572194884946
4500,0.6340212067387905,0.5185180487047257,0.7647058823529422,0.1769911463255457,0.4042553106780904,0.12857143048721234
4600,0.37628828246945367,0.16296260315435096,0.3176480415907075,0.07079646517612316,0.08510637334632348,0.31428572463094673
4700,0.5154643414607897,0.7407408209528518,0.34117745335541233,0.29203540306748393,0.1276595600194852,0.514285735359336
4800,0.5154643414607897,0.28148108500447633,0.729412747473063,0.4159292121412707,0.31914892667946576,0.37142858292327413
4900,0.5927838957963296,0.562963098177665,0.5294117647058844,0.5663716881794607,0.4680850933509082,0.5714285829232741
5000,0.4948447171537761,0.370369946392069,0.5529421592377652,0.3716814222369319,0.255319140012035,0.30000001072838917
5100,0.5103094892082451,0.6074075288714613,0.5294117647058844,0.4336283284353015,0.5177304888990774,0.4428571524360617
5200,0.5051552828462239,0.4444439975483967,0.5764715710024745,0.5132743476047494,0.4184397071235027,0.21428572194884946
5300,0.4845356585392103,0.46666621289529553,0.5294117647058844,0.5663716881794607,0.5177304888990774,0.37142858292327413
5400,0.5515468001507079,0.6222223391027263,0.5882352941176489,0.5309734555913992,0.503546084464439,0.32857143960634316
5500,0.6237117175305444,0.4148143770858653,0.2941176470588266,0.7699115130997431,0.0,0.6714285963337606
5600,0.4845356585392103,0.7703704414153831,0.4823539239436505,0.646017723963671,0.2907801324571035,0.585714291461637
5700,0.458762473760697,0.681481580027789,0.45882451217894127,0.47787611501668786,0.46099289779127733,0.27142858024117683
5800,0.4690715323752628,0.7481482260684842,0.21176667141670913,0.5840707961661104,0.49645388890480824,0.385714299507929
5900,0.4329892889821837,0.5555556930620311,0.35294117647059103,0.4159292121412707,0.31205672845675964,0.2428571524360618
6000,0.39175197803972284,0.6518519595652577,0.38823725965200245,0.3451327502881,0.36170211867877805,0.2857142957529928
6100,0.4948447171537761,0.7925926567622805,0.2823539239436479,0.38053098121468537,0.27659573334861587,0.2428571524360618
6200,0.541237526239303,0.7555556311841167,0.258824512178943,0.30088496038376117,0.3333333232580319,0.3428571551181591
6300,0.44329834759674946,0.7333334158372192,0.3176480415907075,0.3628318632591784,0.2836879342343973,0.3571428690207166
6400,0.3969068302922655,0.7629630362997506,0.329413730240238,0.07079646517612316,0.7517730355745313,0.2000000134104865
6500,0.6340212067387905,0.6962963902590554,0.0,0.5221239015980744,0.49645388890480824,0.5285714304872122
6600,0.3659787932612095,0.8074074669935469,0.22353039453188345,0.30973451770003846,0.27659573334861587,0.32857143960634316
6700,0.37628828246945367,0.7037037953746879,0.20000098276717856,0.25663717214089854,0.1985815422465469,0.3428571551181591
6800,0.37628828246945367,0.681481580027789,0.5882352941176489,0.18584070031887054,0.48936169334517726,0.18571429146163707
6900,0.6082480219602772,0.7037037953746879,0.20000098276717856,0.12389380575083442,0.31205672845675964,0.1571428582923274
7000,0.4536078368049955,0.5481476691672558,0.4000009827671768,0.10619468945680363,0.35460992045607187,0.1571428582923274
7100,0.5257736153721946,0.5703705032932975,0.35294117647059103,0.15044246773080897,0.2482269404577912,0.09999999999999998
7200,0.5154643414607897,0.562963098177665,0.4823539239436505,0.11504423514274742,0.2978723306798096,0.1571428582923274
7300,0.49999956940631873,0.5333328589359907,0.3647068651201216,0.26548672945717583,0.17021274669264694,0.1428571551181591
7400,0.402061467247967,0.3925921617389679,0.8352951004142373,0.053097323959949115,0.3687943155699466,0.0
7500,0.28350503256364645,0.6074075288714613,0.2823539239436479,0.424778769457548,0.22695033780044685,0.4428571524360617
7600,0.5257736153721946,0.34814773104517016,0.8588254949461225,0.4336283284353015,0.3758865151241904,0.30000001072838917
7700,0.6185570805748429,0.6148149339870939,0.41176470588235553,0.6017699207675224,0.2836879342343973,0.4285714438976989
7800,0.3969068302922655,0.4962958333578269,0.6705892180612941,0.3628318632591784,0.3758865151241904,0.37142858292327413
7900,0.4536078368049955,0.5703705032932975,0.5176480415907101,0.5486725801928111,0.5744680666915007,0.4428571524360617
8000,0.3969068302922655,0.5185180487047257,0.45882451217894127,0.5929203667741975,0.4397163031231589,0.4285714438976989
8100,0.41752516281823615,0.5407402640516232,0.4823539239436505,0.6017699207675224,0.4680850933509082,0.5285714304872122
8200,0.4072161042036704,0.6518519595652577,0.4000009827671768,0.424778769457548,0.47517729556822735,0.4285714438976989
8300,0.4536078368049955,0.7259260107215854,0.4823539239436505,0.38053098121468537,0.7021276533417388,0.25714286633861927
8400,0.6907217826578402,0.6740741749121566,0.164706865120119,0.7610619424916562,0.07092196891168531,0.5428571658465484
8500,0.49999956940631873,0.8074074669935469,0.18823627688482392,0.5486725801928111,0.4042553106780904,0.40000001341048647
8600,0.4484531998492921,0.562963098177665,0.47058823529411997,0.4690265444086009,0.53900707557797,0.4142857219488494
8700,0.8608250174928697,1.0,0.2941176470588266,0.35398230760437727,0.39716311112384656,0.1428571551181591
8800,0.0,0.5851853135245625,0.21176667141670913,0.26548672945717583,0.3687943155699466,0.2428571524360618
8900,0.39175197803972284,0.7555556311841167,0.38823725965200245,0.04424778658138643,0.7375886444552696,0.31428572463094673
9000,0.41752516281823615,0.7259260107215854,0.21176667141670913,0.3893805418539151,0.2836879342343973,0.30000001072838917
9100,0.3865977716776997,0.7777778465310156,0.2823539239436479,0.29203540306748393,0.39716311112384656,0.27142858024117683
9200,0.5154643414607897,0.7851852516466481,0.27059020082847357,0.3185840751824634,0.4326241022373774,0.32857143960634316
9300,0.46391732601323965,0.8000000618779144,0.541177453355415,0.28318584408973035,0.5673758844472462,0.1571428582923274
9400,0.39175197803972284,0.47407361801092807,0.07058921806129502,0.3716814222369319,0.0,0.45714287706700857
9500,0.37628828246945367,0.8444444925717107,0.17647058823529335,0.49557523131071873,0.1843971511272851,0.30000001072838917
9600,0.4845356585392103,0.681481580027789,0.4000009827671768,0.14159291373748412,0.26241133823474116,0.17142858292327418
9700,0.49999956940631873,0.6518519595652577,0.2941176470588266,0.21238938223655968,0.53900707557797,0.2428571524360618
9800,0.412370956456213,0.7629630362997506,0.4000009827671768,0.12389380575083442,0.21985814224081598,0.04285715243606179
9900,0.4536078368049955,0.7333334158372192,0.35294117647059103,0.03539823258806161,0.39716311112384656,0.04285715243606179
10000,0.43814414123472634,0.5851853135245625,0.42353039453188607,0.14159291373748412,0.26241133823474116,0.028571443897698886
