Timestamps (ms),a_x,a_y,a_z,g_x,g_y,g_z
100,-5.897218,-8.691252,0.4261679,0.19813919,-0.5550028,-0.022703448
200,-4.197036,-7.1972694,-1.8315643,-0.021837922,-0.7600662,-0.026964506
300,-4.956297,-7.190087,0.49320555,0.025033714,-0.07350325,-0.19740681
400,-1.3024458,-8.346486,-2.5019407,-0.17417073,-0.14114754,0.13229252
500,-1.3455414,-8.236353,-5.5716066,-0.82398206,1.9664782,0.44974133
600,-4.99221,-8.380005,-4.4915223,-0.54914385,0.58483016,0.8849019
700,-4.110844,-8.705617,-1.8004397,-0.727043,0.14114754,0.831106
800,-3.1316159,-3.5434184,-3.5553896,-0.66845345,0.4415521,0.9791778
900,-5.990592,-1.2737153,-4.3239284,-0.47990164,-0.34834146,1.062801
1000,-8.312967,-5.7751136,-7.652168,-0.5789712,-0.42077947,1.4010226
1100,-5.1789575,-4.0916905,-4.1802764,-1.0578076,-0.07243799,1.4356436
1200,-8.710405,-0.56982,-7.862858,-0.79894835,0.025033714,1.0777147
1300,-6.4095774,1.376666,-5.576395,-0.8644621,0.01438107,1.072921
1400,-7.2810664,2.1428106,-7.343316,-0.43995422,-0.025566347,1.3765215
1500,-7.230788,1.9153614,-6.7854667,-0.42876893,-0.6492787,1.1277821
1600,-5.4830213,4.7620673,-8.250718,0.20399815,0.06338324,0.25373268
1700,-7.0536175,1.508347,-5.39683,0.50653327,0.6130597,-0.8333697
1800,-5.0209403,-0.12689269,-8.2555065,1.1174624,-0.027696876,-1.1912986
1900,-8.925883,-0.11492168,-8.339304,0.9827065,0.4181163,-1.6035559
2000,-5.3441577,-3.5817258,-8.040029,0.98590225,0.4878911,-1.5902401
2100,-5.880459,-4.477157,-6.2348003,1.3310479,0.2972088,-1.4474946
2200,-5.897218,-7.2714896,-5.758354,1.8578212,-0.77231675,-1.7590845
2300,-3.9240966,-10.8029375,-4.663905,2.2285333,0.35260254,-1.5838485
2400,-3.0597897,-5.0496707,-0.5410896,1.315069,0.88203895,-1.5737284
2500,4.3143516,-7.877223,-2.0566192,0.23435818,0.44368264,-0.03814978
2600,1.7956513,-8.564359,-5.4710503,-0.22104238,-0.22264028,0.5333646
2700,-1.0726024,-9.481338,-3.4356794,-0.6828345,0.8580705,0.6212489
2800,-1.2114661,-8.660127,-1.1372458,-0.8127968,1.4780544,0.9019461
2900,-2.219425,-5.5069633,-0.39264908,-0.5113269,-0.20772657,0.6777079
3000,-6.20607,-5.2412066,-0.51235914,-0.93903065,0.29827404,1.0441589
3100,-7.666533,-6.8046207,-4.0821137,-1.6239957,0.9752496,1.3083445
3200,-6.905177,-4.9634795,-4.0294414,-1.3278521,0.72437984,0.6484132
3300,-6.0935426,-4.7046065,-8.480561,-1.1685951,0.4612595,1.2353739
3400,-9.481338,-2.5594015,-5.150227,-1.3369069,0.52357745,0.83856285
3500,-8.758289,0.82360536,-6.7567363,-1.2106731,0.17576863,1.0169947
3600,-6.241983,0.2753332,-8.427889,-0.92944324,-0.61412495,1.3429656
3700,-6.965032,3.016694,-7.1876926,0.27004454,-0.5006743,0.414055
3800,-6.7375827,-0.89064306,-5.6434326,0.61678815,0.6562029,-1.158808
3900,-8.499715,2.3080103,-4.7884035,0.89535475,-0.011185277,-1.312206
4000,-7.5755534,-0.545878,-7.1589622,0.87351686,-0.1603223,-1.7303224
4100,-5.052065,-3.0789435,-7.6737156,1.1744541,-0.12623383,-1.4767895
4200,-7.9442606,-4.8458643,-6.1557918,1.128115,-0.11930962,-1.551358
4300,-6.158186,-7.0536175,-6.122273,1.6064188,-0.018109497,-1.3915683
4400,-4.8745947,-9.00968,-4.7740383,2.2929816,0.42024684,-1.5359116
4500,-2.6072857,-10.053553,-4.134786,1.7273263,0.65194184,-1.2850418
4600,5.51654,-7.8484926,-2.2026656,0.44528055,-0.22530343,0.27663586
4700,-2.030283,-11.911452,0.009576807,-0.267914,-0.80107886,0.6622616
4800,-3.0023289,-8.229171,-1.6759412,-0.8836369,-0.06178534,0.35599807
4900,-5.638644,-8.169315,-3.3973722,-1.1345067,0.19014971,0.6324342
5000,-4.6806645,-8.12622,-1.9991584,-1.5339808,-0.39574575,1.7424397
5100,-8.719982,-7.606678,-7.2834606,-1.8967034,-0.26365295,1.8138125
5200,-0.5267244,-1.7788919,-7.0895305,-0.7909589,-0.44421527,1.3014202
5300,-15.438411,2.717419,-8.265083,-1.160073,-0.4527374,1.52193
5400,-6.076783,-0.24899697,-4.268862,-1.4887071,0.4101268,1.2833108
5500,-6.526893,1.4413095,-7.7551184,-0.61572284,-0.51452273,1.5522901
5600,-4.9299607,2.4851813,-7.178116,-1.3379722,0.05486112,0.92644715
5700,-5.645827,2.492364,-10.024822,0.017044231,0.12410331,0.033222936
5800,-8.29142,0.076614454,-4.7500963,0.79735047,0.5656554,-1.4181999
5900,-7.036858,0.49559975,-6.902783,0.86020106,0.16192019,-1.1801133
6000,-5.394436,-1.1707647,-6.905177,1.0578076,-0.15286545,-1.3553493
6100,-6.320992,-2.717419,-6.3090205,1.0237192,-0.12836437,-1.3516209
6200,-6.1390324,-4.5561657,-6.220435,1.0354371,-0.5044027,-1.5673369
6300,-5.0257287,-7.1996636,-5.602731,1.3544837,0.20559604,-1.2477576
6400,-3.9576154,-7.7072344,-3.5338416,2.0426445,-0.0031957934,-1.4693326
6500,-1.0031705,-9.924265,-3.8522706,2.197108,0.7488809,-1.0245847
6600,3.3375173,-5.9738326,-0.9528923,0.013315806,0.294013,-0.18941733
6700,-2.89459,-9.747094,-1.7980455,-0.2790993,-1.176052,1.0894326
6800,-3.4644098,-10.060735,-2.0566192,-0.4825648,-0.010652645,0.60473734
6900,-1.8531121,-7.879617,-2.054225,-0.90281165,-0.66632295,0.7437543
7000,-4.4819455,-6.01214,-2.89459,-1.2564794,-0.053795855,0.8651945
7100,-6.5819597,-6.8357453,-4.8219223,-1.1664646,0.20772657,1.3408351
7200,-5.8277864,-5.758354,-1.5298948,-1.4024206,0.0063915867,1.5544206
7300,-6.5939307,-6.7711015,-7.4558434,-1.4801849,0.21731395,1.2833108
7400,-7.400777,-1.7142484,-5.918766,-1.7555559,0.51771855,1.9283284
7500,-4.876989,-3.7373488,-3.2465374,-1.2873721,0.5635249,1.352553
7600,-8.818144,1.8866309,-8.640973,-0.89109373,-0.2609898,1.4063488
7700,-6.196493,-0.33758244,-4.1156325,-0.1304949,-0.7888283,0.589291
7800,-7.290643,0.5315128,-6.8740525,0.304133,1.0354371,-1.029911
7900,-6.402395,1.2593501,-6.902783,1.0285128,0.21571605,-0.9745172
8000,-6.6178727,-0.51954174,-6.4119716,0.92038846,0.10439592,-1.329783
8100,-6.8860235,-1.7310078,-6.1773396,0.97258645,-0.21518342,-1.4991599
8200,-7.747936,-2.3175871,-7.451055,0.99069595,-0.2775014,-1.2243217
8300,-8.176498,-4.2760444,-5.844546,0.99229383,-0.33449304,-1.6552212
8400,-5.648221,-5.480627,-3.4859576,1.3379722,-0.2806972,-1.3106081
8500,-3.7804444,-8.207623,-4.876989,1.6405072,0.08042747,-1.3952967
8600,-7.1517797,-10.225935,-3.2154129,1.9920446,-0.7728494,-1.3590777
8700,0.4285621,-4.1946416,11.64809,0.6737798,-1.7981664,-0.7076685
8800,-4.2784386,-3.2752678,3.7612908,-0.33822146,-2.1156151,0.16052204
8900,-5.1885343,-8.27466,-1.2689269,-0.044208474,-0.080960095,-0.79928124
9000,-3.4261026,-7.448661,-0.51475334,-0.13102753,-0.39414784,0.23029687
9100,-1.520318,-6.953061,0.29688102,-0.9235843,0.3685815,0.5924868
9200,-7.388806,-8.099884,-2.384625,-1.1100056,0.36911413,1.0883673
9300,-3.1603463,-6.514922,-5.717653,-0.62051654,-0.23382555,1.2465591
9400,-10.611402,0.009576807,-2.719813,-1.4066817,0.66152924,1.4473615
9500,-5.040094,-1.42455,-6.402395,-1.3219932,-0.02130529,0.8902282
9600,-5.3872533,-1.5251064,-9.349657,-1.4365091,0.010120012,2.0369854
9700,-4.3526587,0.45010993,-6.94109,-1.2937636,-0.29028457,1.9224695
9800,-5.9020066,0.8738836,-6.572383,-1.5041534,0.18269286,1.040963
9900,-6.395212,0.80445176,-5.6649804,-0.5107943,-0.6775082,0.6345647
10000,-6.9363017,2.4349031,-6.962638,0.304133,0.36218992,-0.86692554
