Timestamps (ms),a_x,a_y,a_z,g_x,g_y,g_z
100,4.3143516,11.130943,0.23942018,-0.07922904,0.101200126,0.347942
200,4.968268,11.4876795,-0.18674773,0.1247691,-0.29028457,0.18229339
300,4.687847,9.95539,-0.7350199,0.22863239,-1.0066749,-0.18309233
400,2.2864625,7.7886376,0.031124622,-0.19907129,0.21997711,-0.84302366
500,2.0901382,4.7165775,-0.07182605,-0.260324,1.0135992,-1.2009525
600,-0.8499416,4.1371803,-0.016759412,-0.24594294,1.2394352,-0.8174573
700,-4.6351743,10.668862,1.0654198,-0.041944787,-0.040480047,-0.6869624
800,-3.0789435,10.364799,1.4389153,0.0102531705,0.31691617,-0.17723337
900,-0.80205756,9.464579,1.2401965,-0.004660532,-0.017044231,0.16258599
1000,-1.8842367,8.310574,0.9840169,0.25899243,-1.0604708,0.1876197
1100,-2.3175871,7.0320697,0.22026655,0.2206429,-0.8048073,0.45766425
1200,-2.054225,6.53647,0.7493851,0.111453295,0.030360037,0.7383614
1300,2.3774424,7.609072,-0.39743748,0.081625886,0.47244477,0.44914213
1400,2.0135236,9.5292225,-0.4285621,0.14713965,-1.31933,0.3181146
1500,1.5346833,11.573871,-0.94331545,-0.22463764,0.1123854,-0.044075318
1600,-0.11971009,11.573871,-0.320823,-0.0206395,-0.773382,-0.044075318
1700,0.16280572,10.33128,-0.6751649,0.044874266,-0.27483824,0.15459651
1800,0.8571242,11.604995,0.9576807,-0.22090922,-0.15499598,0.15512913
1900,0.9768343,11.758224,-0.40940848,-0.055260595,-0.33768883,0.21797974
2000,2.4420857,10.594642,0.15562311,0.21425131,0.13209279,0.13701963
2100,6.332963,10.879552,1.115698,-0.08029431,0.64395237,0.05819007
2200,4.879383,13.848362,-1.0989386,0.012383699,-0.46818373,-0.03768373
2300,0.9888053,11.71034,0.6368576,0.2781672,0.8202536,-0.15646072
2400,1.3359646,10.443807,0.7302315,0.033156358,0.9832391,0.27603665
2500,2.2936451,13.369521,-0.7517793,-0.04673848,0.9821738,0.17643443
2600,0.46208093,11.655273,-0.5530606,0.019307919,0.41545314,0.47044742
2700,3.809175,10.362404,-0.9888053,-0.16178703,0.26045716,0.33569145
2800,3.6104562,10.233117,-0.19153613,-0.0669785,-0.6135923,0.36125782
2900,3.5745432,8.542811,-0.7326257,-0.17829864,-0.64341974,-0.106393285
3000,4.2401314,5.7990556,-1.4939818,-0.21505027,0.0644485,-0.6544719
3100,1.2808979,4.232949,-0.9935937,-0.40466735,0.8788432,-0.8749816
3200,-3.8594532,6.4239426,1.4508862,-0.23688819,1.2809805,-0.9181248
3300,-4.1276035,9.237129,1.6041151,-0.04940164,0.267914,-0.42330948
3400,-1.3144168,10.106225,0.47405192,-0.035553202,0.09960223,-0.09520801
3500,-2.885013,8.858846,1.0127473,0.13009542,-0.03888215,0.042743735
3600,-0.4381389,8.193257,0.023942016,0.33515882,-0.8692558,0.20785972
3700,-1.1372458,5.832575,-0.074220255,-0.0030626352,-0.5289038,0.55407065
3800,-1.0893618,7.4821796,0.7062895,-0.041944787,0.8426242,0.22117554
3900,3.1004913,8.286632,-0.32800564,0.20146814,-1.0594054,0.30479878
4000,3.715801,10.769419,-0.78529817,0.17856495,-0.24767399,0.047004793
4100,-0.5434838,11.8779335,0.4333505,0.019307919,-0.6828345,0.13009542
4200,1.910573,10.85561,1.2952632,0.015579493,-0.26365295,0.13009542
4300,1.7764976,10.553941,0.2825158,0.004394216,-0.4564658,0.0017310547
4400,-0.12928689,10.877157,-0.023942016,0.126367,-1.4274544,0.18229339
4500,-1.8100165,12.067076,-0.35913026,0.01504686,0.39095205,0.38149783
4600,1.958457,11.504438,0.21068975,0.03688478,0.92784536,0.35646412
4700,3.0550013,14.628872,0.85473,-0.38389468,2.5363946,-0.36525255
4800,7.2930374,12.088624,0.22266077,0.22277343,1.3582122,-0.08881643
4900,3.1172507,10.22354,-1.2497733,0.11997541,-0.44474792,-0.1463407
5000,-0.2705448,13.347974,-0.31364042,0.08322378,-0.0479369,-0.056325857
5100,-0.08140286,14.114119,-0.10055647,0.42517367,-0.6263755,0.40972733
5200,3.4979286,11.547534,-1.0941502,0.24354608,-0.64395237,0.25153556
5300,3.6224272,10.69041,-0.7637503,0.14181334,-0.5161206,0.24620925
5400,5.078401,9.392753,-1.0342951,0.052331116,-0.9353022,0.066712186
5500,3.9552212,8.344092,-1.292869,-0.107458554,-0.4527374,-0.61665493
5600,1.745373,4.795586,-0.20590134,-0.46964848,1.010936,-0.8350342
5700,0.34955344,5.813421,0.59615624,-0.3876231,1.5584819,-0.9101353
5800,-3.1244333,9.555558,2.195483,0.16152072,-0.8133294,-0.7876299
5900,-3.9264908,10.470143,1.1420342,0.026232136,-0.3387541,-0.17883126
6000,-2.5258827,9.320927,1.3431472,0.136487,-0.1736381,0.03635215
6100,-1.8387469,7.561188,0.44771573,0.4273042,-1.109473,0.26325348
6200,-0.2825158,6.988974,-0.40701428,0.18442391,-0.8905611,0.62917185
6300,0.9935937,8.65055,1.8387469,-0.2667156,1.1350393,0.037950046
6400,1.1444284,10.055946,-1.4101849,-0.0701743,-0.19121496,0.20040287
6500,-1.0462662,10.00088,0.25857377,0.012383699,-0.32490566,-0.055793226
6600,-0.5746084,10.937013,-0.9576807,0.014514228,-0.7568704,-0.36045885
6700,0.23223756,9.522039,-0.30406362,0.12157331,-0.71159667,-0.22996396
6800,-0.01436521,9.522039,2.468422,0.13701963,-1.2042814,0.032623723
6900,1.6903064,10.968137,-0.107739076,-0.04727111,0.72011876,0.13701963
7000,1.7477672,10.027216,0.055066638,0.18548918,-0.47351006,0.23928502
7100,0.7062895,10.486903,-0.7110779,0.09600696,-1.2607405,0.3910852
7200,0.8355764,9.395146,-0.58897364,-0.14580807,0.3787015,0.2739061
7300,4.9060187,13.881881,1.0199299,-0.17137443,1.7188042,-0.22357237
7400,2.1739352,6.01214,0.46208093,-0.055260595,1.1233214,-0.10479539
7500,3.6152446,13.467684,1.3551182,0.06937535,0.66152924,-0.27310717
7600,0.5482722,11.439795,-0.16519992,0.13488911,-0.108124346,0.032623723
7700,0.16280572,10.146926,2.0973208,0.26112294,-1.4333134,0.12263857
7800,-2.5689783,15.096041,2.0829554,0.12263857,1.0668623,-0.030759512
7900,-2.2290018,8.925883,-0.60094464,0.34314832,-0.13688648,0.35699674
8000,1.661576,9.9194765,-0.7230489,0.21478395,0.14913702,0.1695102
8100,4.367024,9.759066,-0.20829555,-0.18149443,1.3491575,0.004926848
8200,4.8698063,7.996933,-0.8714894,0.093343794,-1.4620755,-0.3098588
8300,0.6847417,4.8362875,-0.545878,-0.09627327,-0.051132694,-0.8105331
8400,-0.5386954,5.004181,-0.110133275,-0.5921539,2.1523669,-0.3561978
8500,-1.1468226,9.905111,1.0271125,-0.099469066,0.05006743,-0.4440821
8600,-4.4675803,10.070312,0.5482722,0.12210594,-0.8426242,-0.30399984
8700,-0.045489833,9.177275,0.7230489,0.1679123,0.10546118,0.0059921127
8800,-2.8634653,6.8501105,-0.062249243,0.2504703,-0.7414241,-0.007856325
8900,-1.6065093,6.241983,0.91219085,0.1577923,-0.8314389,0.44594634
9000,1.7717092,8.111855,-1.0749966,-0.21505027,-0.26631612,0.47790426
9100,-2.0901382,8.6697035,0.24420857,0.2158492,-0.968858,0.34208304
9200,-3.083732,9.328109,0.14844051,0.033156358,0.7030745,0.29893982
9300,1.1923125,10.518027,1.0749966,-0.5058675,2.0192087,0.18389128
9400,5.8900356,11.224317,0.1340753,0.07896273,-0.8229168,0.08322378
9500,-0.5674258,9.012074,1.2545617,0.053929012,-0.81545997,0.0917459
9600,2.0254946,9.859622,0.31364042,-0.012650016,-0.5209143,0.081625886
9700,0.5746084,11.375152,-0.9696517,0.21052289,-2.0937772,0.0768322
9800,1.8052281,10.74787,0.088585466,0.40013996,-1.3219932,0.2536661
9900,1.6448165,10.786178,-0.49320555,0.15459651,-0.15073492,-0.21558289
10000,-1.958457,18.766352,-3.3063924,-0.19001655,0.75633776,-0.09627327
