Timestamps (ms),a_x,a_y,a_z,g_x,g_y,g_z
100,-9.653721,-7.752724,1.0749966,0.2508032,0.9929596,1.4189988
200,-7.513304,-0.80445176,3.9336734,-0.27064374,0.90081424,1.2288492
300,-14.422971,-2.755726,0.25378537,0.16078836,0.8353005,1.5186011
400,-10.927436,-2.7365725,1.1348516,0.21724737,0.68509823,1.165466
500,-9.866804,-1.3503298,2.4636335,-0.41338918,0.02463424,1.3598766
600,-11.367969,0.04309563,1.0702082,0.3882223,-0.0035952674,1.2032828
700,-9.605837,1.3096284,0.5482722,0.7163238,-0.2736398,0.94815195
800,-12.589012,2.3463178,0.0023942017,-0.2450774,0.02463424,0.39155126
900,-8.93546,1.7621324,0.50038815,0.30779484,-0.22836606,-0.97198725
1000,-10.544364,1.0989386,1.6663644,-0.8229834,-0.5942844,-1.291034
1100,-10.10383,-0.56982,1.0869676,-0.50659984,-0.51119375,-1.6862471
1200,-11.47092,-2.4660277,-0.019153614,-0.20406473,0.10772487,-1.9206052
1300,-8.710405,-3.6535518,3.0669725,-0.6408231,-0.42171156,-1.9786621
1400,-7.867646,-5.2364182,2.4013844,-0.13109411,-0.12077436,-2.222075
1500,-6.124667,-6.2132525,1.7884687,-0.4714461,-0.14207965,-2.1624203
1600,-6.2348003,-7.774272,1.6711528,0.17836522,-0.86965525,-2.3925173
1700,-3.7205894,-6.6513915,2.1811178,0.37064546,-0.06111955,-0.9533451
1800,-3.857059,-5.0089693,-1.0295067,0.42710447,-0.7540741,-0.18102838
1900,-7.7431474,-9.510069,-0.1412579,0.34720963,-0.7854994,-0.079828255
2000,-2.4899697,-9.00968,0.10295067,0.125102,0.384161,0.97318566
2100,-2.5809495,-5.269937,1.8339585,-0.12576778,0.16365126,1.2815797
2200,-6.807015,-9.356839,1.1827357,0.6801048,-1.0006828,1.4078135
2300,-7.4295073,-10.613795,0.01436521,0.0004660532,0.49441588,1.9787953
2400,-8.353669,-2.980781,1.1731589,0.12137357,0.24407873,1.7412413
2500,-11.978491,-1.1300632,2.4636335,0.45693186,0.7756457,1.5697337
2600,-7.8341274,1.5011644,1.3479356,0.17250626,0.26431873,1.5718642
2700,-9.395146,-0.47165772,-0.1604115,0.31951275,0.50932956,1.4573483
2800,-11.305719,0.9935937,0.17477672,0.0920788,0.7628625,1.2805145
2900,-12.543522,1.3862427,0.8451532,-0.10499513,0.40280312,0.7606654
3000,-11.691186,2.6767175,-0.6943185,-0.25732794,-0.58363175,-0.7024753
3100,-10.946589,1.8315643,0.82121116,-0.4815661,-0.66618973,-1.490771
3200,-11.391911,0.08379706,0.79008657,-0.9268467,-0.30559775,-1.6431038
3300,-10.879552,-0.89303726,0.079008654,-0.13375726,-0.6688529,-1.8284599
3400,-9.569923,-4.6902413,-1.8531121,-0.29194903,-0.47604007,-1.867342
3500,-9.43106,-4.970662,1.1061212,-0.45280397,-0.44994107,-2.2103572
3600,-6.0312934,-5.988198,0.9816227,-0.26744795,0.2685798,-2.5746777
3700,-2.7150247,-8.336909,2.0207062,0.13042831,-0.1431449,-1.8902452
3800,0.9600749,-5.600337,0.3184288,-0.24241424,-0.43236423,-0.16558205
3900,-1.2330139,-6.2395887,3.3662477,0.07130614,-0.59321916,0.058656123
4000,-1.6711528,-8.473379,2.2290018,-0.1342899,-0.31411985,0.33242908
4100,-3.7181952,-7.252336,0.05267244,0.28009796,-0.085088,0.8203202
4200,-8.372823,-12.433389,-1.079785,0.18528944,0.9476859,2.1811955
4300,-2.171541,-9.852439,0.51475334,-0.17050889,0.97378486,2.4272716
4400,-3.4476504,-0.7015011,2.552219,0.05479454,0.36072516,1.953229
4500,-10.915464,-1.0510546,3.2752678,0.2753043,0.5418201,1.6272581
4600,-11.451766,-2.5689783,1.0510546,0.34880754,0.028362665,1.6256602
4700,-12.4908495,-1.5682021,-0.15562311,-0.016045546,0.78150463,1.562277
4800,-12.134113,-1.7429788,-0.91458505,0.57730675,0.2637861,1.5058179
4900,-10.549152,3.7948096,1.9608512,0.43296343,0.37350836,0.9715878
5000,-11.339238,1.0079589,-0.6464345,-0.18915102,-0.4483432,-0.7248459
5100,-9.148544,2.4995465,1.4077905,-0.26371953,-0.4984106,-1.5355121
5200,-9.656115,1.292869,0.90261406,-0.48849034,-0.5346296,-1.7368472
5300,-11.423036,-0.37349546,2.0614076,-0.8762466,-0.5974802,-1.677725
5400,-9.727941,-3.7062242,1.0702082,-0.060786653,-0.34661043,-1.8684072
5500,-8.516475,-3.4237084,1.7884687,-0.3691807,-0.45633265,-1.9674768
5600,-8.15495,-6.9554553,-0.7110779,-0.28395957,-0.32850093,-2.3642879
5700,-8.265083,-8.083124,1.5107412,0.0920788,-0.085620634,-2.5890586
5800,-2.789245,-4.343082,1.7525556,0.24547687,-0.08881643,-1.8188725
5900,-6.596325,-5.8206034,-0.095768064,0.38875493,0.106659606,-0.25985795
6000,-7.546823,-9.134179,-0.6967127,0.15812519,-0.16658074,0.2796985
6100,-4.522647,-7.958626,0.8882488,0.03295662,0.486959,0.48369664
6200,-1.2018893,-7.7096286,0.4309563,-0.31751537,1.167663,1.7684056
6300,-8.609849,-2.2409728,2.6982653,-0.023502396,0.4368916,1.45362
6400,-5.0113635,-8.482956,2.3750482,-0.02669819,-0.43556002,2.3974442
6500,-9.55077,-5.9953804,3.6822822,0.5789046,0.12530173,1.7316539
