Timestamps (ms),a_x,a_y,a_z,g_x,g_y,g_z
100,-3.9360676,5.7032876,7.2978263,0.10865697,0.36911413,-0.22510369
200,-4.548983,4.4915223,7.2212114,-0.044208474,-0.009054748,-0.17184047
300,-4.0916905,3.6774938,5.9498906,-0.027164243,0.021837922,0.05612612
400,-3.1723173,5.882853,7.10629,0.13315806,-0.32330775,0.06038718
500,-3.289633,5.8206034,6.6657567,0.091080114,-0.17576863,-0.00086552737
600,-3.0214825,5.6434326,6.514922,-0.027164243,-0.08468852,0.06305034
700,-3.679888,6.1055136,7.154174,0.25406557,0.13741912,0.051332433
800,-2.9520507,5.80145,6.9913683,0.27377295,0.18908444,-0.040812943
900,-4.0677485,5.6769514,6.6513915,0.2790993,0.16724652,0.058789283
1000,-3.1364043,6.4000006,6.608296,0.16192019,0.25246766,-0.15000255
1100,-4.5322237,5.243601,5.5548472,-0.11611383,-0.12836437,0.07956194
1200,-2.492364,4.8865657,4.9275665,0.007456851,-0.0058589545,-0.094076164
1300,-2.753332,3.3423057,3.572149,-0.1933455,-0.23595607,0.106726184
1400,-2.7581203,4.5537715,4.7907977,-0.03781689,-0.07190535,0.013515543
1500,-3.6774938,5.30585,6.004957,-0.3110572,-0.18216023,0.10459565
1600,-3.394978,5.789479,6.754342,-0.1587244,-0.002130529,0.07370298
1700,-3.0382419,5.815815,7.4917564,-0.22370553,-0.1555286,0.12004199
1800,-3.4691982,6.842928,7.580342,-0.096939065,-0.2050634,-0.015779229
1900,-3.5577838,7.9897504,8.758289,-0.03834952,-0.22370553,0.015646072
2000,-4.256891,7.700052,8.401553,-0.010120012,-0.24660872,0.11418303
2100,-4.55856,8.277055,8.521263,-0.075101145,-0.034621093,0.14560834
2200,-4.417302,8.432677,8.957007,-0.029827405,-0.11611383,-0.01844239
2300,-4.3766007,8.511686,9.524434,-0.17736652,-0.3206446,-0.07916246
2400,-3.9504328,7.0536175,8.767866,-0.15819177,-0.24873926,0.023635555
2500,-3.040636,6.550835,8.655338,0.05219796,0.018109497,0.023635555
2600,-3.596091,6.5101337,8.250718,-0.02130529,0.08681905,0.02736398
2700,-4.31914,6.8716583,8.372823,-0.09374327,0.19707392,0.0033955304
2800,-3.5553896,7.1230493,7.700052,0.09374327,0.2231729,-0.049867693
2900,-3.8522706,6.6753335,7.2978263,0.036218993,0.023435818,0.008189221
3000,-3.25372,6.2036757,5.56203,0.24873926,0.22690132,-0.013116068
3100,-1.9560628,3.3566709,4.0677485,0.27643612,0.15286545,-0.12070778
3200,-1.2737153,2.6791117,3.8355112,-0.20080236,-0.12996227,-0.2847585
3300,-4.1180267,4.8458643,4.855441,-0.76965356,-0.7637946,0.28036427
3400,-3.6128504,7.6354084,8.3512745,0.44581318,0.2034655,-0.21551631
3500,-2.8083985,4.333505,6.7567363,-0.1123854,-0.24927188,-0.094076164
3600,-2.336741,3.8642416,4.922778,0.20932446,0.24021713,0.09127985
3700,-2.3199813,3.3901896,6.0336876,0.23009712,0.29507825,-0.09780459
3800,-2.2936451,3.0885203,5.1645923,-0.35473305,-0.016511599,0.13122727
3900,-1.5562311,4.1276035,6.6298437,-0.11025487,0.0127831735,0.068909295
4000,-2.3463178,4.944326,7.604284,-0.30466563,-0.20133498,0.07263772
4100,-2.4420857,5.552453,8.612243,-0.007456851,-0.07882957,0.051332433
4200,-2.8538885,6.4095774,9.447819,-0.12996227,-0.18695392,0.06091981
4300,-3.13401,7.012916,9.763854,-0.03781689,-0.112918034,0.0060586915
4400,-3.1292217,7.4534492,10.908282,0.118776985,0.013848438,-0.043476105
4500,-3.3039982,6.9602437,10.903494,0.22210763,0.14434333,-0.043476105
4600,-2.8060043,6.9841857,10.278607,0.054328486,0.11930962,-0.020040287
4700,-2.4779987,5.5428762,8.758289,-0.077231675,0.053263225,-0.023236081
4800,-1.8866309,5.1334677,8.348881,-0.01917476,0.036218993,-0.04933506
4900,-2.018312,5.0975547,8.789413,0.026631612,0.07350325,-0.08076036
5000,-2.2960393,5.147833,8.3752165,0.06551377,0.2146508,-0.10153302
5100,-1.8387469,5.4159837,8.652945,0.23276028,0.30945933,-0.19101523
5200,-3.442862,5.770325,8.703222,0.19920446,0.17204021,-0.05838981
5300,-3.4955344,5.779902,7.307403,0.1917476,0.06178534,-0.010985539
5400,-3.0550013,3.9911342,5.1789575,0.26312032,0.12250541,0.04387558
5500,-1.460463,2.9400797,4.3239284,0.039947417,0.20985709,-0.14840466
5600,-1.4389153,3.3877954,4.8482585,-0.67271453,-0.54435015,-0.029627668
5700,-4.209007,4.9898157,7.1733274,0.08681905,0.041545313,0.25000426
5800,-2.906561,6.289867,9.172486,0.42077947,0.2647182,-0.16012256
5900,-3.0358477,4.2880154,5.090372,-0.35899413,-0.49694586,0.25373268
6000,-1.5011644,3.0238767,4.534618,0.46978164,0.28495824,-0.020040287
6100,-1.7357962,3.0597897,5.1693807,-0.31372038,-0.2514024,0.1317599
6200,-1.8100165,4.039018,5.360917,-0.16298546,-0.1304949,0.048136637
6300,-1.9129672,5.454291,7.3912,-0.14274544,-0.15286545,0.030027142
6400,-2.3391352,6.071995,8.444649,-0.2050634,-0.17097494,0.025233451
6500,-2.6743233,6.443096,9.569923,-0.14753912,-0.18056233,-0.03708452
6600,-1.958457,5.7487774,10.472537,-0.13688648,-0.058056913,-0.00086552737
6700,-2.3774424,6.5292873,11.406276,0.03888215,0.05486112,0.05612612
6800,-2.6144683,7.508516,11.724705,0.092145376,0.22104238,-0.067444555
