Timestamps (ms),a_x,a_y,a_z,g_x,g_y,g_z
100,0.4501403594602516,0.9268959571343448,0.18623410468837884,0.40836408331986235,0.6555394955969438,0.4342235353195813
200,0.46427275775747073,0.7850188122433644,0.2980042211051811,0.2774907789298663,0.853594427317459,0.14496098120412865
300,0.28781580850973615,0.7054816201546155,0.2984787025471243,0.6674046694224418,0.6490997603483184,0.1578195429876734
400,0.37274229884821836,0.6662820470703783,0.27807595099868315,0.7062730711498048,0.507688272493975,0.17210682927299317
500,0.5108964973890308,0.6865140858646159,0.23774499870658125,0.8639606493776412,0.6740701968264596,0.2073854422089275
600,0.41685658029296924,0.5069547573442958,0.3129503964353685,0.8083640856291712,0.5252989968462781,0.20650619538662832
700,0.5473501823529391,0.4443460966879277,0.274280119281091,0.611808114911207,0.2954396253492587,0.15386307672381805
800,0.5451048370108309,0.3252299863958628,0.48684794399731723,0.8029520171812576,0.3631226234632039,0.1281459531567286
900,0.7243520008787726,0.3244712961577053,0.5167402946576921,0.8120541301988314,0.22801947276630033,0.07879988627483367
1000,0.6860492115556353,0.3663263062015705,0.7890928365490307,0.7832718425975105,0.20331187935171516,0.17958017965712306
1100,0.6270100884641218,0.310308849512933,0.6374959108130261,0.37072570953513606,0.768300699669606,0.4781844114358459
1200,0.730031375895412,0.30955015927477564,0.5964532363580094,0.39409594023508765,0.5387041749372891,0.5155511551029816
1300,0.7124649258572532,0.28236338056525573,0.572729154351873,0.29151292058286954,0.693915103504033,0.6807341343684836
1400,0.637180126581967,0.23241552500466628,0.8118679596348715,0.18425582523150819,0.675778697712736,0.8773491537785814
1500,0.3756480587005306,0.25340628942324017,0.573440866605811,0.19261991086067937,0.6008674006154661,0.8952632197200711
1600,0.41989435243481465,0.4463692882614116,0.47617209173564184,0.19212791723437173,0.7367591125796382,0.8436091815141019
1700,0.508915320057645,0.5620870630982048,0.4315708262840046,0.23886839249012767,0.5271389233355933,0.8963622369803762
1800,0.29375928533787216,0.5838365124734168,0.3238634497821085,0.19852398217213585,0.4616901096442345,0.9109792098733814
1900,0.4716691531279779,0.7125628318576593,0.4332315014218291,0.265928660831813,0.5751084324792256,0.8900978200262311
2000,0.4999339607556204,0.8483703661138572,0.1826754938738048,0.4095940927880285,0.5330529725804781,0.8806462261932813
2100,0.0,1.0,0.31769519103684696,0.3847478465695217,0.4038638633560523,0.5046708392443108
2200,0.3500247656820477,0.7666835270365724,0.29752974957221456,0.3168511650463016,0.6159810828004135,0.1528739343656237
2300,0.3130427888295117,0.7252078548232894,0.27546632288594897,0.6878228760132091,0.58141675236465,0.1636443777982378
2400,0.46229159145928916,0.6918249951700507,0.2692980542317107,0.6528905295245133,0.5200420642664059,0.16935927580533816
2500,0.42174346231064574,0.6723516587614649,0.2650277113452452,0.7293973027272936,0.5469838432139214,0.19046049799184792
2600,0.4093280733340901,0.47483641286396405,0.24106636880018364,0.6885608849271412,0.5322644325331143,0.17595340000095328
2700,0.523179796843623,0.3290234904018423,0.21778711066862463,0.7375153869246933,0.4736496355876159,0.16309483821740858
2800,0.5288591994432733,0.33547245249352675,0.4600397326185499,0.7820418169641826,0.5931134253747521,0.11869435932377886
2900,0.5501238416500835,0.22647238985470863,0.5622905527201458,0.9948339376024755,0.29688527576968665,0.0
3000,1.0,0.36619985606803784,0.9845793234099159,0.8265682747153776,0.1637534616203233,0.3389383426824667
3100,0.7008420078132518,0.2163563791720965,1.0,0.5372693670184513,0.13418320367560332,0.5381910055806753
3200,0.6535578812544987,0.1647646507495057,0.7195812567503664,0.5104551047271552,0.39019582665667124,0.5939114138399088
3300,0.7548621483319212,0.21951757969522048,0.7658432300394513,0.4440344389996074,0.4351426049150333,0.6065501597911217
3400,0.7269935706539536,0.27578794193244244,0.5786601624671861,0.32398523427938014,0.6994348892639274,0.7539289769045432
3500,0.534802731437431,0.3611418507267318,0.42042048267140936,0.17047968962889407,0.8424234552390538,0.877019425903327
3600,0.5758791469580997,0.5412227857837981,0.5361940535953166,0.09471094381451631,0.6839269387824997,0.8893284893736114
3700,0.412365900641957,0.5548794107683628,0.30488419210438067,0.15547354686742257,0.7041661285611379,0.9651609898414308
3800,0.3118540713974759,0.5873771109308118,0.25411465799850524,0.11463713830450543,0.6098041881479135,0.9214199047969568
3900,0.403648676251042,0.8041127982513524,0.25197947169180734,0.2829028335219269,0.4757524047703727,0.9151554878428116
4000,0.45885753971834936,0.9255050056654858,0.307493849944045,0.18228783225180703,0.5865422624257716,0.8728431685676814
4100,0.2816080864384475,0.7721208880599956,0.0,0.3230012331709119,0.5162307882755388,0.39224090471551515
4200,0.35887405752851737,0.7239433526429198,0.2692980542317107,0.6735547190725815,0.7523984882939903,0.1528739343656237
4300,0.4389136658493232,0.7622577723629296,0.4002550213888235,0.5035670323072303,0.5203049107843651,0.16507308166622844
