Timestamps (ms),a_x,a_y,a_z,g_x,g_y,g_z
100,-7.855675,-11.164462,0.34715924,0.043675844,0.29454562,1.4146712
200,-7.355287,-7.0416465,2.468422,0.08149273,0.4644553,1.3305153
300,-6.184522,-1.6280571,-1.0534488,-0.082558,-0.08468852,1.6724652
400,-13.8603325,-7.463026,-0.38307226,0.13635385,-0.004261058,1.4950987
500,-6.3162036,-1.3503298,0.63206923,0.4165184,0.17150758,1.1297129
600,-5.382465,-1.1468226,0.09816227,-0.02130529,-0.06178534,1.3241237
700,-12.474091,-1.5251064,-0.045489833,0.03089267,0.64768076,1.3187973
800,-6.9698205,1.4341269,-0.15322891,0.18162759,-0.12996227,1.2420983
900,-10.209175,0.35194764,1.8818425,-0.13582122,0.43675843,1.010936
1000,-13.04391,0.44771573,-2.0398598,-0.4063984,-0.00479369,-0.6823019
1100,-12.119748,2.3008277,2.2960393,0.14594123,-0.28549087,-1.6724652
1200,-11.420641,0.05746084,0.4333505,-0.36911413,-0.2775014,-1.8738002
1300,-10.108619,-1.1420342,0.37828386,-0.42237735,-0.5134575,-1.9574234
1400,-8.909123,-4.841076,-1.4628572,0.1933455,0.24714136,-2.1454427
1500,-9.510069,-4.721366,2.3798366,-0.09321064,0.51026165,-2.3734093
1600,-8.195652,-8.181287,0.23223756,-0.046339005,-0.45540056,-2.7680898
1700,-1.0366893,-7.3744407,1.3192052,0.42077947,-0.3073288,-2.1401162
1800,-1.3790601,-6.5939307,0.20350714,-0.18855181,0.6247776,-0.0015978967
1900,-3.8618474,-5.3226094,0.7038953,-0.6993461,0.4612595,1.1100056
2000,-6.766313,-8.250718,-0.58657944,0.2231729,0.9443569,1.8311896
2100,-6.878841,-4.048595,-0.05746084,0.022903185,1.123854,1.8743328
2200,-9.1629095,-1.6136919,-2.4516625,0.21145499,-0.029827405,1.4727281
2300,-12.076653,-4.7309427,-1.4556746,0.27057716,0.41864893,1.4391723
2400,-7.7455416,-2.6431987,-3.1483753,0.39095205,-0.17470337,1.6080167
2500,-12.059894,-2.0135236,0.7230489,-0.20932446,0.10865697,1.4892397
2600,-8.765471,-0.7015011,0.0,-0.47031426,-0.3568636,1.3763217
2700,-10.345645,0.24420857,-1.388637,-0.029294772,0.22583607,1.4040185
2800,-11.911452,-1.9033904,-0.47405192,-0.2908172,0.21837921,0.7499462
2900,-12.2634,0.8619126,-2.4971523,-0.257794,0.039414786,-0.90654004
3000,-11.973702,1.091756,0.7757214,-0.02396845,-0.2561961,-1.7417074
3100,-9.737517,0.2801216,-0.46686932,-0.04314321,-0.06657903,-1.8301244
3200,-9.273043,-1.5825673,-0.79248077,-0.1304949,-0.6689861,-2.0213394
3300,-7.8724346,-5.9618616,-0.9744401,-0.0015978967,-0.2561961,-2.218413
3400,-7.340922,-7.1517797,-0.91219085,0.26045716,0.16937704,-2.6349316
3500,-7.867646,-9.356839,1.9632454,0.59761333,-1.0082728,-3.3364084
3600,0.5410896,-2.2505496,4.177882,0.28229508,-0.28549087,-0.38456047
3700,0.12210429,-5.135862,-0.033518825,0.34940675,-1.2863069,0.2727077
3800,-3.7972038,-8.995315,0.7086837,0.0479369,-0.21784659,1.5984293
3900,-7.0751653,-6.9961567,0.3854665,0.0644485,0.60773337,1.3821807
4000,-9.933842,-8.219594,1.151611,0.15180019,1.0354371,2.1007016
4100,-10.427048,-5.861305,0.35913026,-0.10439592,0.34567833,1.4833808
4200,-6.65618,-3.2489316,0.5554548,0.2514024,0.120907515,1.639442
4300,-13.053487,-1.6208745,-0.18914193,-0.1257012,0.7206514,1.911617
4400,-8.600272,0.23223756,0.93613285,0.2695119,0.76912093,1.4311827
4500,-10.257059,0.56982,0.30406362,-0.11930962,0.22956449,1.5100124
4600,-13.948918,-1.1420342,-1.2617443,-0.2977414,0.31052458,1.0130665
4700,-13.094189,1.0726024,-0.4357447,-0.31691617,0.32863408,-1.0173275
4800,-12.471696,1.0534488,0.23702596,-0.19600865,0.25193503,-1.7299895
4900,-9.95539,0.29688102,0.2825158,-0.24660872,-0.113983296,-1.8466359
5000,-9.194034,0.07182605,0.47405192,-0.3153183,-0.84368944,-1.9600866
5100,-8.626608,-4.5753193,-0.6488287,-0.5853628,-0.386691,-2.0176108
5200,-9.184457,-6.074389,-0.08140286,0.23009712,-0.42344263,-2.593919
5300,-5.279514,-9.373599,-1.3215994,0.39468047,-0.9400959,-2.6844664
5400,0.7134721,-5.743989,3.4859576,0.45912898,0.072970614,-1.4450313
5500,-3.0502129,-4.1395745,-0.5267244,0.24660872,-0.1304949,0.10013486
5600,-3.1507695,-11.411064,0.50757074,-0.31798145,0.32969934,1.7507621
5700,-2.9520507,-14.533104,1.1109096,0.12942964,-1.1371698,2.7238812
5800,-5.9834094,-7.216423,0.9720459,0.2876214,-1.0466223,1.794438
5900,-12.818855,1.0630256,-2.815581,0.10333065,0.4463458,1.3134711
6000,-10.52521,-5.2148705,1.5658079,0.50173956,-0.30945933,1.5808525
6100,-12.962507,-4.3406878,-1.7956513,0.25300032,0.7595336,1.9616845
6200,-7.9801736,-2.267309,0.91937345,0.2231729,0.04314321,1.9542277
6300,-9.2107935,2.0159178,0.35673606,0.029294772,0.7568704,1.4492923
6400,-15.728109,-1.5442601,0.2681506,-0.029827405,-0.08628642,1.0183928
6500,-12.035952,-0.23702596,-1.4460979,-0.33502567,-0.2695119,-1.0317086
6600,-9.706393,2.0374656,-0.89064306,-0.13475595,-0.2796319,-1.9094865
6700,-9.617807,0.8379706,-0.090979666,-0.07243799,-0.24927188,-1.8599517
6800,-10.139744,-3.083732,0.24660277,-0.5613944,-0.19973709,-1.8556907
6900,-9.488521,-5.1071315,-0.23702596,-0.304133,-0.7137272,-1.8732675
7000,-8.863634,-5.9738326,-0.557849,0.043675844,-1.0482203,-2.4783378
7100,-6.5340757,-11.504438,-0.9624691,0.4463458,-0.9358348,-2.8900626
7200,2.1930888,-5.882853,1.0295067,0.4463458,-0.6743124,-1.9872508
7300,-6.6968813,-1.7741034,-1.496376,0.48203218,-1.5648735,-0.28975195
7400,-5.6314616,-14.535498,0.272939,-0.33822146,0.48309743,1.7630126
7500,-2.6623523,-10.85561,-0.016759412,0.22530343,-0.26844665,1.6085494
7600,-6.136638,-9.222764,-1.9201498,0.2082592,-0.3616573,2.2008364
7700,-10.549152,0.2825158,1.0271125,0.20879184,0.257794,1.5803198
7800,-7.3816233,1.1133038,0.1340753,0.20133498,-0.14327806,1.7502295
7900,-13.309667,-4.876989,-0.6991069,0.396811,0.60293967,1.8418423
8000,-9.455002,-2.5953147,-1.8890251,-0.08894958,0.46392268,1.8540928
8100,-6.6896987,3.4165258,0.40701428,0.08522116,0.6317018,1.7012273
8200,-11.209951,2.303222,1.4700398,0.1917476,0.6359629,1.1371698
8300,-12.342409,1.5275006,-1.460463,-0.4644553,0.05752428,-0.8362326
8400,-10.520422,2.4732103,0.18914193,-0.64075655,-0.3834952,-1.6341157
8500,-10.790966,-0.16280572,-1.1587936,-0.37923414,-0.49801114,-1.8141453
8600,-10.364799,-1.6184803,-1.1827357,0.31372038,0.3520699,-1.6772588
8700,-10.221147,-1.4413095,2.5809495,-0.26365295,-0.20186761,-1.6048208
8800,-9.383176,-6.158186,-0.56982,-0.010652645,-0.7813715,-1.8082864
8900,-7.934684,-8.135797,-0.878672,0.25832662,-0.21198763,-2.267948
9000,-5.4710503,-10.716746,-0.24899697,0.50813115,0.928378,-2.6945865
9100,-0.22744916,-5.9115834,1.0773908,0.17470337,0.9006811,-1.4514228
9200,-3.1531637,-6.6992755,1.0582372,-0.00958738,0.19547603,0.39521313
9300,-3.5218706,-8.566753,0.9648633,-0.17257284,0.4543353,1.5893745
9400,-3.787627,-14.638449,2.0757728,-0.08894958,-0.4063984,2.7686224
9500,-8.600272,-7.0751653,-0.8475474,0.38083205,-0.304133,1.5291871
9600,-6.100725,-3.5936968,1.6663644,-0.3930826,-0.2231729,1.6117451
9700,-8.923489,-12.840403,-4.477157,0.5704491,0.12144015,2.0756679
9800,-9.471761,-2.753332,1.7549498,0.52357745,0.2727077,1.6303873
9900,-8.882788,-2.1452048,0.1340753,-0.32969934,0.19547603,1.7603495
10000,-14.236222,-0.92176765,-0.31364042,-0.37337518,0.4079963,1.7837853
