Timestamps (ms),a_x,a_y,a_z,g_x,g_y,g_z
100,-2.360683,6.265925,0.4333505,-0.56425726,0.43129894,-1.1408982
200,-2.6144683,7.1015015,0.49559975,-0.43642554,0.17137443,-0.84848315
300,-3.2704794,8.643368,3.3063924,-0.16904415,0.5479454,-0.4463458
400,-2.956839,8.557177,2.6743233,0.012050804,0.34661043,0.05219796
500,-3.6774938,8.789413,1.3072342,0.15958993,-0.0075900094,0.24820662
600,-0.0047884034,8.186075,0.9720459,0.049867693,0.8004131,0.38775626
700,-4.1395745,6.182128,1.4556746,0.3081943,-0.0917459,0.52837116
800,3.3877954,7.946655,-0.4333505,0.010985539,0.4584632,0.23489082
900,1.0199299,9.246706,-0.2657564,0.3012701,-1.0835071,0.07829694
1000,-2.6479871,10.982503,1.5394717,-0.43482763,1.8598186,-0.11558119
1100,1.9033904,10.893917,1.8076223,-0.19034944,1.0251839,0.16564862
1200,2.492364,11.114183,1.673547,0.19314577,-0.24833977,0.30786142
1300,3.110068,9.59626,1.9297266,0.42803657,-0.83849627,0.32437304
1400,2.1092918,11.700763,0.10295067,0.30872697,-1.3743243,0.23915187
1500,1.2090719,11.420641,-1.5035586,0.16118783,-0.992427,0.041545313
1600,0.6991069,10.745477,-0.7445967,0.18941733,-0.8965532,0.21891184
1700,4.486734,21.790228,-2.980781,0.07064035,-0.082691155,0.2545982
1800,0.9840169,10.676044,-1.4796166,0.49994192,-1.0499513,-0.1107875
1900,1.1204864,10.187628,1.0462662,0.113250926,0.8195878,-0.0037284256
2000,1.6903064,13.848362,-0.35913026,-0.051865064,1.1279819,-0.101200126
2100,2.042254,12.1245365,0.48841715,0.16438362,0.28375983,0.08468852
2200,3.7110126,11.233893,-0.6392518,0.072238244,-0.25260085,0.23755397
2300,2.111686,9.692028,-0.33039984,-0.056658752,0.1447428,0.058589544
2400,1.9536686,9.732729,-0.9600749,-0.097671434,-0.052331116,-0.105993815
2500,1.3718776,8.212411,-0.50757074,-0.7480154,1.5913719,-0.39468047
2600,3.6966474,6.6035075,-0.4381389,-0.46838346,-0.13701963,-0.8511463
2700,-1.5107412,5.6673746,0.45489833,-0.5083309,0.72105086,-0.932639
2800,-2.885013,7.237971,1.7022774,-0.4097939,0.4371579,-0.8825716
2900,-3.7612908,9.126996,2.8921957,-0.09394301,0.022770029,-0.28442562
3000,-3.9552212,9.380781,1.7764976,-0.004460795,0.067511134,0.05273059
3100,-1.2689269,6.7950435,1.3623008,0.32577118,-0.44221792,-0.09267801
3200,-2.542642,7.805397,0.5386954,0.31085747,-0.8640626,0.20080236
3300,-1.460463,5.9020066,1.5107412,0.12283831,-0.17963022,0.5219796
3400,0.15801731,7.1158667,0.37588966,0.1904826,-0.56845176,0.24714136
3500,0.93852705,8.27466,0.40940848,0.021638185,0.40626523,-0.19867182
3600,-1.6376339,10.881946,0.021547815,0.10632671,-0.79162467,0.022370555
3700,-3.3159695,9.251494,0.7541735,0.057324544,-0.9636648,0.25672874
3800,-5.360917,11.36318,1.8698715,-0.18555576,-0.00013315806,0.19813919
3900,0.37110126,10.386346,2.372654,-0.1514673,0.03235741,0.25832662
4000,2.0973208,11.729493,2.3199813,-0.05346296,0.40040627,0.52464277
4100,3.4380736,10.630555,0.32321724,0.06691192,-0.8235826,0.34301516
4200,3.3854012,7.850887,5.078401,0.10259828,0.25073662,-0.45327002
4300,3.098097,8.849269,2.980781,0.08502142,2.2843266,-0.3110572
4400,5.9953804,9.816526,1.5466543,0.33163014,-0.35433358,0.013315806
4500,-0.5386954,12.723087,0.58897364,0.27570376,0.35246938,0.128897
4600,1.4293385,13.565846,0.61052144,-0.06305034,0.10532802,0.31957933
4700,1.8674773,10.666468,0.37349546,0.13668674,-0.03422162,0.59228706
4800,1.6903064,10.58746,0.10295067,0.089282475,0.51598746,0.23808661
4900,4.367024,10.379164,-0.4381389,0.033356093,0.17243968,0.028229509
5000,1.4341269,9.081507,-0.50517654,-0.19407786,0.0685764,-0.27164245
5100,0.4189853,7.6737156,-0.6679823,-0.58023626,0.8637963,-0.69029135
5200,0.7134721,6.5292873,0.19632454,-0.38049915,0.15219966,-0.8863
5300,-1.4748282,6.7208233,0.1436521,-0.5264404,1.100285,-1.1174624
5400,-3.1435869,8.447042,2.1978772,-0.11151987,-0.053929012,-0.6945524
5500,-3.2441432,9.117419,2.0015526,0.029095035,-0.23608923,-0.3121225
5600,-2.6527755,10.668862,1.1851299,0.1590573,-0.25579664,-0.05752428
5700,-2.2050598,8.913912,1.9297266,0.03974768,-0.18495654,0.025033714
5800,-2.4109612,6.5436525,1.3311762,0.28848693,-0.93277216,0.26897928
5900,-1.8171991,5.633856,1.7669208,0.2746385,-0.5514075,0.47191215
6000,2.15957,7.759907,-0.093373865,0.20805946,-0.36072516,0.4596616
6100,-2.9113493,8.183681,0.7541735,0.15479624,0.19960393,0.257794
6200,2.2697031,9.804555,0.557849,-0.11631356,0.8153268,-0.11984225
