Timestamps (ms),a_x,a_y,a_z,g_x,g_y,g_z
100,-3.8307228,7.79582,6.014534,-0.14447649,-0.36525255,-0.093610115
200,-2.908955,6.9195423,6.2515597,-0.22969764,-0.1793639,0.0054594805
300,-3.0621839,6.7351885,4.7285485,0.029161615,-0.06378271,-0.08721853
400,-3.4476504,6.763919,6.148609,0.15006913,-0.22463764,0.053929012
500,-4.0892963,6.6849103,6.3257804,0.21345237,-0.04247742,0.095474325
600,-4.3143516,6.598719,6.4359136,0.23529029,-0.23742081,0.021971079
700,-3.8546648,8.722376,6.0696006,0.055793226,-0.32264197,-0.038748994
800,-3.1890767,6.739977,5.916372,-0.16737968,-0.16551547,0.013448964
900,-4.048595,6.668151,5.5596356,0.09680591,0.024101608,0.0059921127
1000,-3.5434184,6.1390324,5.686528,0.14048176,0.19773972,-0.04780374
1100,-3.5936968,6.107908,5.0209403,-0.12903015,-0.14048176,0.08482168
1200,-2.834735,4.757279,5.8253922,0.03289004,0.11997541,-0.11704593
1300,-1.7956513,3.751714,4.5537715,-0.37723678,-0.2752377,0.11251856
1400,-2.846706,5.8086324,5.2124763,0.108523816,-0.0520648,0.06617955
1500,-3.1244333,6.7232175,6.3162036,0.04034689,-0.18575549,0.06617955
1600,-3.3135753,7.1733274,7.4175363,-0.46032742,-0.47124636,0.11624698
1700,-2.7724855,6.1294556,7.400777,-0.17856495,-0.40679786,0.08322378
1800,-2.0638018,5.981015,7.9658084,-0.11677962,0.011318435,0.038482677
1900,-2.4157495,5.1574097,8.851663,-0.31225565,0.13222595,0.040080573
2000,-2.6384103,5.981015,8.442254,-0.06884272,-0.10532802,0.020905815
2100,-2.2936451,5.0113635,8.9187,0.106393285,-0.064847976,0.032091092
2200,-2.7341783,6.82138,9.5795,0.11278488,0.05339638,0.059255335
2300,-2.9257145,7.666533,9.5531645,0.095740646,0.023568977,0.04327637
2400,-2.5761611,7.1374145,9.07193,0.08881643,-0.011052119,0.044874266
2500,-2.4061728,6.9961567,8.420707,-0.073636405,-0.14847124,0.052331116
2600,-2.135628,6.598719,8.049605,0.04993427,-0.031292144,0.030493194
2700,-2.0470424,6.6154785,8.052,0.17297232,0.20359866,-0.04460795
2800,-2.9520507,6.6992755,8.178892,0.28589034,0.44807687,-0.086685896
2900,-4.027047,6.8046207,7.7311764,0.16231968,0.31438616,-0.04460795
3000,-3.727772,6.5891423,7.206846,0.1015996,-0.022237396,0.034754254
3100,-2.9496565,6.277896,5.657798,0.23635556,0.17536916,-0.04940164
3200,-1.5131354,4.0940847,4.096479,0.11704593,0.4193147,-0.15166703
3300,-1.5610195,2.8299465,2.9783869,-0.21691447,0.031025827,-0.035553202
3400,-3.8642416,7.793426,3.8139634,-0.44807687,-0.27896613,0.13329121
3500,-5.0472765,7.865252,6.526893,0.43183157,0.073636405,-0.12183962
3600,-2.621651,5.174169,5.777508,-0.033156358,-0.09733854,-0.055793226
3700,-3.4452562,6.074389,3.8857894,0.035553202,-0.12823121,0.08588695
3800,-2.432509,4.6591167,5.0975547,0.38229677,0.23821977,-0.14207965
3900,-2.1883004,4.132392,4.1419687,-0.4416853,-0.3844273,0.11677962
4000,-2.1547816,5.645827,4.8267107,-0.31065774,-0.39614522,0.01771002
4100,-3.2489316,5.348946,6.3114147,-0.2771019,-0.33435988,0.12157331
4200,-3.1507695,6.347328,7.096713,-0.09813749,-0.34075147,0.04807006
4300,-2.942474,6.000169,8.719982,0.048869006,-0.00892159,0.07203851
4400,-2.8874073,6.182128,9.627384,-0.08428905,-0.1495365,0.14394386
4500,-2.0709844,7.644985,9.407118,-0.2717756,-0.085088,0.13222595
4600,-2.5689783,7.7790604,10.235512,0.024900557,-0.04034689,0.14927018
4700,-2.8083985,9.093477,10.699986,-0.02942793,-0.37004623,0.049135324
4800,-2.2720973,7.949049,9.914688,-0.051798485,-0.21931133,-0.021704763
4900,-2.0853498,7.0608,8.710405,-0.102398545,0.008122642,-0.07496799
5000,-1.7286136,5.720047,7.75033,-0.010785802,0.22650185,-0.092544846
5100,-1.8195933,5.765537,8.174104,0.23529029,0.29680932,-0.051532168
5200,-2.5258827,6.4622498,8.346486,0.20759341,0.6004097,-0.13568807
5300,-2.2601264,6.8381395,8.150162,0.36578518,0.41345575,-0.036085833
5400,-3.2704794,8.052,6.378453,0.49734533,0.31225565,-0.14101438
5500,-2.4540567,4.9754505,5.7032876,0.46006107,0.24354608,-0.15219966
5600,-1.6208745,3.2609026,3.0597897,-0.09920275,0.028895298,-0.0014647386
5700,-1.8650831,2.1428106,3.6894648,-0.14341123,0.19773972,-0.031292144
5800,-4.8386817,8.5499935,4.8458643,-0.9428922,-0.8169247,0.59188753
5900,-3.763685,9.43106,7.3504987,0.7146593,0.30053774,-0.4025368
6000,-2.207454,5.408801,4.9251723,-0.24993767,-0.1612544,-0.055260595
6100,-3.7062242,4.920384,4.807557,0.122372255,0.051798485,0.09068064
6200,-2.267309,5.468656,5.624279,0.2885535,0.08375642,-0.08295747
